		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   27   22   23   20   24   34   26   20  6.273769 0.616595 SUCCESS   0
000000011   23   20   22   26   23   30   23   30  4.079306 0.849898 SUCCESS   1
000000101   24   21   21   21   23   31   22   16  6.635872 0.576379 SUCCESS   2
000000111   27   28   24   25   26   25   21   25  1.486993 0.992922 SUCCESS   3
000001001   32   29   24   28   23   34   29   25  8.802532 0.359227 SUCCESS   4
000001011   28   28   28   26   28   30   31   27  5.769340 0.673051 SUCCESS   5
000001101   20   18   27   26   17   24   25   19  6.525321 0.588600 SUCCESS   6
000001111   28   16   21   22   25   27   25   21  5.077571 0.749254 SUCCESS   7
000010001   22   16   26   26   25   20   18   26  6.127471 0.632956 SUCCESS   8
000010011   29   23   19   24   24   29   25   21  3.629821 0.888884 SUCCESS   9
000010101   19   26   27   22   29   32   30   23  6.631238 0.576890 SUCCESS  10
000010111   25   27   25   24   24   32   23   30  4.191180 0.839476 SUCCESS  11
000011001   23   21   30   20   34   19   20   25  8.696615 0.368532 SUCCESS  12
000011011   16   22   27   27   25   20   21   21  5.619071 0.689815 SUCCESS  13
000011101   19   22   25   29   34   27   17   26  9.011055 0.341364 SUCCESS  14
000011111   33   28   24   17   23   28   21   18  8.866082 0.353719 SUCCESS  15
000100011   24   17   32   31   27   27   18   23  9.011055 0.341364 SUCCESS  16
000100101   29   37   23   28   22   27   16   22 12.019753 0.150325 SUCCESS  17
000100111   24   23   21   26   25   29   28   22  2.393243 0.966523 SUCCESS  18
000101001   27   24   18   22   20   21   21   18  5.804425 0.669129 SUCCESS  19
000101011   24   16   27   22   25   30   24   35  9.638612 0.291312 SUCCESS  20
000101101   23   28   28   22   36   14   35   25 16.486131 0.035928 SUCCESS  21
000101111   15   22   23   11   21   29   25   21 13.565476 0.093818 SUCCESS  22
000110011   29   21   26   24   31   16   28   27  7.172737 0.518116 SUCCESS  23
000110101   26   15   23   24   22   24   25   25  4.221631 0.836594 SUCCESS  24
000110111   21   30   34   31   20   15   25   31 13.994439 0.081910 SUCCESS  25
000111001   24   19   19   19   26   30   24   23  5.238432 0.731815 SUCCESS  26
000111011   25   20   25   28   43   24   27   33 19.487547 0.012459 SUCCESS  27
000111101   24   24   22   17   28   25   23   30  4.553283 0.804079 SUCCESS  28
000111111   27   35   27   20   30   26   17   22 10.155618 0.254273 SUCCESS  29
001000011   28   20   23   21   25   21   27   31  4.579100 0.801468 SUCCESS  30
001000101   21   13   23   26   23   22   23   29  7.491812 0.484614 SUCCESS  31
001000111   25   30   27   30   30   19   24   20  6.351220 0.607953 SUCCESS  32
001001011   24   28   24   29   24   32   17   34 10.139731 0.255355 SUCCESS  33
001001101   25   24   21   24   27   16   21   18  6.016921 0.645336 SUCCESS  34
001001111   24   29   21   24   19   25   19   23  3.967431 0.860050 SUCCESS  35
001010011   21   31   20   17   16   20   27   20 10.388635 0.238801 SUCCESS  36
001010101   19   24   31   19   29   27   26   24  5.621719 0.689520 SUCCESS  37
001010111   28   24   26   25   17   19   17   36 12.255418 0.140166 SUCCESS  38
001011011   26   30   16   23   40   27   26   22 15.460724 0.050782 SUCCESS  39
001011101   36   33   21   25   24   27   24   21 10.131125 0.255943 SUCCESS  40
001011111   14   18   24   20   22   35   22   26 12.499689 0.130263 SUCCESS  41
001100101   24   21   27   29   28   22   21   28  3.511989 0.898257 SUCCESS  42
001100111   30   24   28   28   22   18   21   29  5.799791 0.669647 SUCCESS  43
001101011   27   17   25   23   23   22   31   24  4.883611 0.769940 SUCCESS  44
001101101   14   21   23   30   17   35   34   16 20.457348 0.008738 FAILURE  45
001101111   26   28   25   26   21   14   22   22  6.339967 0.609208 SUCCESS  46
001110101   25   24   27   30   32   20   29   14 10.384001 0.239101 SUCCESS  47
001110111   24   28   26   24   34   18   31   38 15.996266 0.042434 SUCCESS  48
001111011   27   26   22   21   28   23   20   30  3.909839 0.865165 SUCCESS  49
001111101   29   26   26   30   21   23   18   26  4.859118 0.772522 SUCCESS  50
001111111   26   36   31   21   27   35   21   24 13.691252 0.090176 SUCCESS  51
010000011   20   19   27   23   22   22   19   25  4.161391 0.842276 SUCCESS  52
010000111   31   29   20   25   29   30   26   35 10.675272 0.220786 SUCCESS  53
010001011   27   15   18   22   21   17   19   23 10.133111 0.255807 SUCCESS  54
010001111   21   22   27   23   24   27   18   20  3.950220 0.861587 SUCCESS  55
010010011   33   25   31   28   21   24   24   21  6.537899 0.587207 SUCCESS  56
010010111   29   27   24   29   24   30   26   29  4.429493 0.816445 SUCCESS  57
010011011   23   21   18   20   20   20   25   16  7.769181 0.456336 SUCCESS  58
010011111   26   27   18   30   22   30   27   28  5.868637 0.661944 SUCCESS  59
010100011   18   19   18   22   27   20   25   21  6.558420 0.584935 SUCCESS  60
010100111   21   29   13   21   20   25   28   27  9.051436 0.337975 SUCCESS  61
010101011   17   25   27   20   25   24   33   22  6.841085 0.553872 SUCCESS  62
010101111   22   33   21   29   32   17   28   29 10.978459 0.202923 SUCCESS  63
010110011   22   22   26   28   19   22   26   18  4.467226 0.812703 SUCCESS  64
010110111   31   25   24   24   34   23   25   24  5.885849 0.660017 SUCCESS  65
010111011   26   27   25   25   12   19   25   22  8.432485 0.392403 SUCCESS  66
010111111   18   25   26   27   24   30   18   31  7.062187 0.529938 SUCCESS  67
011000111   22   32   30   12   33   20   28   30 16.366975 0.037419 SUCCESS  68
011001111   26   23   27   22   24   21   19   28  3.002265 0.934215 SUCCESS  69
011010111   33   22   21   21   22   29   24   20  6.324079 0.610980 SUCCESS  70
011011111   31   28   26   25   29   22   24   21  4.156757 0.842710 SUCCESS  71
011101111   22   22   21   27   23   29   36   31  9.792191 0.279915 SUCCESS  72
011111111   27   35   28   23   28   32   26   25  8.802532 0.359227 SUCCESS  73
100000000   27   22   23   20   24   34   26   20  6.273769 0.616595 SUCCESS  74
100010000   24   17   27   22   24   18   27   26  4.992838 0.758341 SUCCESS  75
100100000   26   26   28   23   27   26   28   18  3.529200 0.896912 SUCCESS  76
100101000   32   16   34   26   26   21   29   22 11.189631 0.191184 SUCCESS  77
100110000   24   20   27   25   25   31   12   29 10.399889 0.238073 SUCCESS  78
100111000   29   15   27   23   21   19   29   22  7.873774 0.445897 SUCCESS  79
101000000   26   23   41   17   28   26   31   21 17.181210 0.028277 SUCCESS  80
101000100   20   23   33   17   21   22   25   27  7.391191 0.495073 SUCCESS  81
101001000   21   31   26   25   31   18   27   15 10.069561 0.260178 SUCCESS  82
101001100   28   27   34   31   18   26   19   28 10.215858 0.250201 SUCCESS  83
101010000   15   26   27   24   29   26   34   30 10.385325 0.239016 SUCCESS  84
101010100   23   17   22   20   22   25   23   33  6.941706 0.542935 SUCCESS  85
101011000   25   20   25   23   35   24   25   21  6.206247 0.624141 SUCCESS  86
101011100   33   29   15   19   19   28   23   22 11.119461 0.195022 SUCCESS  87
101100000   25   19   12   31   23   31   19   22 13.016695 0.111276 SUCCESS  88
101100100   23   19   17   18   25   22   26   30  7.068144 0.529299 SUCCESS  89
101101000   18   25   24   20   28   28   28   20  5.044472 0.752812 SUCCESS  90
101101100   17   30   23   19   28   24   23   18  7.339556 0.500479 SUCCESS  91
101110000   24   25   21   19   31   32   11   24 13.652858 0.091274 SUCCESS  92
101110100   28   28   27   25   24   37   25   23  8.233891 0.410963 SUCCESS  93
101111000   19   26   24   14   30   22   27   20  8.610557 0.376206 SUCCESS  94
101111100   23   19   24   29   24   21   27   25  3.019476 0.933129 SUCCESS  95
110000000   25   26   16   29   24   35   17   27 11.383591 0.180897 SUCCESS  96
110000010   30   26   30   32   19   30   23   33 10.996995 0.201870 SUCCESS  97
110000100   22   26   20   31   28   23   27   26  4.046207 0.852931 SUCCESS  98
110001000   28   23   30   30   27   27   27   23  4.234209 0.835398 SUCCESS  99
110001010   29   17   19   18   22   20   22   27  7.779111 0.455339 SUCCESS 100
110010000   26   21   28   22   28   28   24   26  2.605739 0.956618 SUCCESS 101
110010010   18   24   22   20   22   24   24   34  6.967524 0.540141 SUCCESS 102
110010100   30   22   31   24   23   16   26   21  7.095286 0.526388 SUCCESS 103
110011000   19   20   21   25   25   25   20   31  5.255644 0.729936 SUCCESS 104
110011010   30   27   21   19   25   26   29   18  6.095696 0.636513 SUCCESS 105
110100000   26   25   29   14   27   27   26   16  9.272537 0.319829 SUCCESS 106
110100010   19   19   26   16   14   20   23   26 11.158518 0.192878 SUCCESS 107
110100100   22   31   21   26   36   25   28   18 10.689836 0.219900 SUCCESS 108
110101000   17   28   26   28   33   18   26   25  8.519866 0.384401 SUCCESS 109
110101010   21   18   18   21   18   22   30   31  9.601541 0.294113 SUCCESS 110
110101100   29   18   23   20   29   18   24   21  6.661689 0.573534 SUCCESS 111
110110000   26   21   24   29   19   21   22   21  3.958825 0.860819 SUCCESS 112
110110010   27   15   24   18   22   28   28   29  8.010142 0.432480 SUCCESS 113
110110100   23   29   21   22   27   31   25   19  5.096107 0.747256 SUCCESS 114
110111000   30   28   31   29   25   25   21   23  5.225193 0.733258 SUCCESS 115
110111010   24   27   27   22   34   26   23   33  8.055818 0.428037 SUCCESS 116
110111100   24   21   25   16   28   25   29   24  4.968345 0.760954 SUCCESS 117
111000000   29   22   16   28   25   31   16   27  9.815361 0.278225 SUCCESS 118
111000010   23   27   24   26   31   21   30   22  4.393746 0.819967 SUCCESS 119
111000100   28   39   26   37   24   20   27   24 17.538679 0.024964 SUCCESS 120
111000110   27   31   30   29   19   24   31   23  7.530206 0.480650 SUCCESS 121
111001000   22   24   25   24   23   25   21   25  0.875323 0.998920 SUCCESS 122
111001010   21   24   27   18   24   18   27   20  5.364870 0.717961 SUCCESS 123
111001100   27   13   20   23   24   24   20   30  8.856152 0.354576 SUCCESS 124
111010000   27   22   27   16   28   28   23   23  5.070289 0.750038 SUCCESS 125
111010010   30   23   28   24   29   23   30   24  4.284519 0.830584 SUCCESS 126
111010100   19   32   23   37   26   18   24   24 12.350081 0.136254 SUCCESS 127
111010110   29   23   31   15   37   20   26   21 14.714011 0.064951 SUCCESS 128
111011000   24   20   20   27   18   24   30   20  5.822960 0.667055 SUCCESS 129
111011010   25   33   19   27   24   35   20   30 11.588805 0.170515 SUCCESS 130
111011100   31   32   25   23   27   24   20   27  5.792509 0.670461 SUCCESS 131
111100000   27   27   26   24   25   31   23   28  3.182985 0.922355 SUCCESS 132
111100010   25   29   19   29   20   23   27   29  5.130530 0.743538 SUCCESS 133
